customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000902,356962,Mon Oct 16 18:11:43 +0000 2017,@DellCares thank you dell. I guess microsoft went the active stylus route is the cause for them to be not compatible.,1000906,DellCares,Mon Oct 16 18:42:28 +0000 2017,"@356962 Unfortunately, Dell stylus's are designed to work with Dell computers only. Let us know if there is anything else we can help you with. ^NB",
1000902,356962,Mon Oct 16 18:11:43 +0000 2017,@DellCares thank you dell. I guess microsoft went the active stylus route is the cause for them to be not compatible.,1000905,DellCares,Tue Oct 17 02:08:30 +0000 2017,@356962 Hi Bhanu. Hope you are doing fine. This is a follow-up message to check if you need further assistance. Feel  1/2,
1000902,356962,Mon Oct 16 18:11:43 +0000 2017,@DellCares thank you dell. I guess microsoft went the active stylus route is the cause for them to be not compatible.,1000904,DellCares,Tue Oct 17 02:08:31 +0000 2017,@356962 2/2 free to contact us anytime. We are here to assist you. Have a good day. ^GY,1000907
1000903,356962,Sat Oct 14 11:32:35 +0000 2017,@118197 The issue is with lenovo's touchscreen.It won't deal with active stylus.I wish these active Stylus were compatible with capacitative screens,1000908,DellCares,Sat Oct 14 12:15:55 +0000 2017,@356962 We haven’t tested the stylus with Lenovo systems and we cannot comment if it’s compatible or not. If it’s not working (1/2),
1000903,356962,Sat Oct 14 11:32:35 +0000 2017,@118197 The issue is with lenovo's touchscreen.It won't deal with active stylus.I wish these active Stylus were compatible with capacitative screens,1000901,DellCares,Sat Oct 14 12:16:25 +0000 2017,"@356962 a refund is an option. Follow us and DM the order number, we will check what we can do. (2/2) ^VR",1000902
1001844,357151,Thu Oct 19 22:19:17 +0000 2017,@DellCares Both the links you shared took me to pages with 400 errors. I'm looking at my modem provider now...(comcast),1001845,DellCares,Mon Oct 23 17:43:00 +0000 2017,@357151 Feel free to reach out to reach out to reach out to us for any further assistance. ^MS(2),
1001844,357151,Thu Oct 19 22:19:17 +0000 2017,@DellCares Both the links you shared took me to pages with 400 errors. I'm looking at my modem provider now...(comcast),1001847,DellCares,Thu Oct 19 23:02:55 +0000 2017,@357151 2/2 to check the list of products affected by KRACK. Do reach out to us if you have any questions. ^PL,
1001844,357151,Thu Oct 19 22:19:17 +0000 2017,@DellCares Both the links you shared took me to pages with 400 errors. I'm looking at my modem provider now...(comcast),1001848,DellCares,Thu Oct 19 23:02:26 +0000 2017,"@357151 Hi,

I was able to find the link which is working. Please click on this link: https://t.co/krOlUGMcFZ   1/2",
1001844,357151,Thu Oct 19 22:19:17 +0000 2017,@DellCares Both the links you shared took me to pages with 400 errors. I'm looking at my modem provider now...(comcast),1001843,DellCares,Sun Oct 22 17:32:25 +0000 2017,"@357151 Hi,
Did you get a chance to try the suggested link? Feel free to reach out to us for any further assistance. ^MS",
1001844,357151,Thu Oct 19 22:19:17 +0000 2017,@DellCares Both the links you shared took me to pages with 400 errors. I'm looking at my modem provider now...(comcast),1001846,DellCares,Mon Oct 23 17:43:00 +0000 2017,"@357151 Hi,
We did not receive any response from your end. We will go ahead and close the case.",
1001850,357151,Wed Oct 18 16:03:59 +0000 2017,@DellCares I still get a 400 error.,1001849,DellCares,Thu Oct 19 16:23:00 +0000 2017,@357151 We are writing back to check if you tried the last step we suggested. Please feel free to write back if you have any queries. ^SD,1001844
1001850,357151,Wed Oct 18 16:03:59 +0000 2017,@DellCares I still get a 400 error.,1001851,DellCares,Wed Oct 18 16:39:43 +0000 2017,"@357151 error code, please erase the all the characters in the URL after the number “9” that says “?linkld=43645176” and try opening it.
^NR",
1001850,357151,Wed Oct 18 16:03:59 +0000 2017,@DellCares I still get a 400 error.,1001852,DellCares,Wed Oct 18 16:39:34 +0000 2017,"@357151 Hi there,
Please try opening this link. https://t.co/l7rjcp24Xz 
In case you are able to see the same (1)",
1001854,357151,Wed Oct 18 15:18:32 +0000 2017,@DellCares  https://t.co/tb5JpjUW9y,1001853,DellCares,Wed Oct 18 16:03:00 +0000 2017,"@357151 Hi there, 
Sorry about that. Please find the link here https://t.co/CNHexyfBGD to understand better.
^NR",1001850
1001857,357151,Wed Oct 18 14:08:10 +0000 2017,@DellCares did this morning's update protect against Krack?,1001858,DellCares,Wed Oct 18 15:16:00 +0000 2017,@357151 https://t.co/6XjCiA9SA0. ^MS(4),
1001857,357151,Wed Oct 18 14:08:10 +0000 2017,@DellCares did this morning's update protect against Krack?,1001860,DellCares,Wed Oct 18 15:16:00 +0000 2017,"@357151 Key Reinstallation Attacks (KRACK) to identify any potential product impacts. We will post a list of affected products, if any, (2)",
1001857,357151,Wed Oct 18 14:08:10 +0000 2017,@DellCares did this morning's update protect against Krack?,1001859,DellCares,Wed Oct 18 15:16:00 +0000 2017,@357151 on https://t.co/QUJdTBtaUY as they are identified. Dell recommends that users refer to the CERT article available here: (3),
1001857,357151,Wed Oct 18 14:08:10 +0000 2017,@DellCares did this morning's update protect against Krack?,1001855,DellCares,Wed Oct 18 15:15:30 +0000 2017,"@357151 Hi,
Dell is actively investigating the vulnerabilities in the WiFi Protected Access II (WPA2) security protocols referred to as(1)","1001854,1001856"
1003821,357590,Thu Nov 30 18:18:23 +0000 2017,@118197 I will never buy another thing from you guys! I have a 8 year old laptop that stoped working after an update u guys send out and now you wanna make me pay $80 for you to tell me how to fix your problem!,1003822,DellCares,Thu Nov 30 19:00:06 +0000 2017,"@357590 We regret your experience. Follow us and DM the system tag, your email address and give us more details about the update after which this issue was observed. (1/2)",
1003821,357590,Thu Nov 30 18:18:23 +0000 2017,@118197 I will never buy another thing from you guys! I have a 8 year old laptop that stoped working after an update u guys send out and now you wanna make me pay $80 for you to tell me how to fix your problem!,1003820,DellCares,Thu Nov 30 19:00:31 +0000 2017,@357590 We will review and share further options. Click on the link-https://t.co/vExPyUJ2XX to watch a video on how to locate service tag. ^VR(2/2),
