customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000257,356811,Fri Nov 03 21:59:36 +0000 2017,Right 🙄🙄 @116062 where is @284369 about at https://t.co/kpbJIPBHqA,1000256,AskTarget,Fri Nov 03 22:57:24 +0000 2017,"@356811 Some items are only available online. We apologize for any disappointment, or frustration, and will share this with our merchandise teams.",
1000269,356815,Mon Nov 20 03:26:21 +0000 2017,Hey @116062 do you want to sponsor my classroom? #DreamBig,1000268,AskTarget,Mon Nov 20 14:05:22 +0000 2017,"@356815 We receive more sponsorship requests than we’re able to support. While we appreciate you reaching out to us, unfortunately we’re unable to provide funding or resources to support your program at this time.",
1000275,356817,Mon Nov 20 03:02:09 +0000 2017,Hey @116062 you may want to pull this product. 3 of my friends and I got chemical burns. Result of the @356818 “Cucumbers 2-Step Eye Kit Buh-Bye Bags &amp; Dark Circles”. You can literally see the imprint of the product where it burned. #chemicalburns #whenbeautyproductsgobad https://t.co/I3o9pUxBI5,1000274,AskTarget,Mon Nov 20 14:03:51 +0000 2017,@356817 That's not what we expect from any merchandise and do apologize. Please DM us with more details as it relates to the purchase. Thank you. https://t.co/bEVlRVM6db,
1000715,356916,Sun Oct 22 01:32:48 +0000 2017,"@116062 app: Zero descriptions? Thanks, that’s helpful. 🙄 https://t.co/zGiIRiTLKw",1000714,AskTarget,Sun Oct 22 17:00:46 +0000 2017,@356916 The app should show the descriptions. Try deleting it and then reinstalling the app. Hopefully this will help. Thanks.,
1000718,356917,Sun Oct 22 02:09:42 +0000 2017,@356918 @319994 @116062 i didnt get a poster in my copy either :/,1000716,AskTarget,Sun Oct 22 17:14:59 +0000 2017,@356917 We'd like to see how we can help. Please DM us with more information. Thanks for reaching out. https://t.co/bEVlRVM6db,1000717
1000722,356919,Sun Oct 22 17:12:32 +0000 2017,@AskTarget This was at millennia mall location. Would appreciate replacement product however.,1000724,AskTarget,Sun Oct 22 17:18:50 +0000 2017,@356919 Can you provide me your receipt number? It's near the bottom of your receipt and says REC#. Please PM us with your address and phone number.,
1000723,356919,Sun Oct 22 01:49:32 +0000 2017,@116062 Second time in a month your cheap bags have sent our coffee for the week to the floor.  Horrible waste of @76222 !! https://t.co/DHRoLQg3xl,1000721,AskTarget,Sun Oct 22 17:11:39 +0000 2017,"@356919 Thanks for all the details, we'll be sure to share your comments with our Hunters Creek Target store leadership.",1000722
1001902,357157,Thu Oct 12 02:57:17 +0000 2017,I’m almost sure @116062 @834 is just photoshopping models instead of hring a diverse group. https://t.co/xcfC2xLxr2,1001901,AskTarget,Thu Oct 12 05:41:03 +0000 2017,@357157 Thanks for your concerns. Target works with a variety of people and agencies to find the right talent to share our products.,
1005627,277813,Sun Oct 22 07:28:20 +0000 2017,@116062 when is Berkeley store opening on University ? https://t.co/rBp4SbaEX6,1005626,AskTarget,Sun Oct 22 19:28:38 +0000 2017,"@277813 You're so, so close to its arrival! It opens next month, and we can't wait to greet you with open arms. 👐",
1007508,358412,Sun Oct 22 10:04:53 +0000 2017,.@AskTarget This 👇🏼 is gross. https://t.co/Uz3799GjmC,1007507,AskTarget,Sun Oct 22 19:44:41 +0000 2017,@358412 We want you to be happy with your coffee purchase. Please DM us.,
1007717,130111,Sun Oct 22 19:39:33 +0000 2017,@AskTarget Southeast Rochester MN just there today and the stocking was worse than ever. Hello Hyvee.,1007719,AskTarget,Mon Oct 23 03:40:43 +0000 2017,@130111 Thanks for reaching out to us. We appreciate your feedback and will be sharing it with our Rochester South Store Leadership team!,
1007718,130111,Sat Jul 15 23:18:16 +0000 2017,@116062 stocking staff must be on a long vacation. No product variety and empty spots galore #shoppingsaturday,1007716,AskTarget,Sun Jul 16 06:20:47 +0000 2017,@130111 @130111 Our apologies! Can you please tell us what store you were at? We want to make sure you have what you need.,1007717
1008962,358748,Sun Oct 22 11:05:54 +0000 2017,@AskTarget Use my CC at the electronics counter at the store in Willmar MN. I rarely use the card and only have used it at a handful of places,1008960,AskTarget,Sun Oct 22 20:00:59 +0000 2017,@358748 Thank you for bringing this to our attention. Please work with your bank regarding any unauthorized charges on your account.,1008961
1008965,358748,Sun Oct 22 00:49:49 +0000 2017,"@116062 Not sure if my card got compromised by one of your stores, but i didnt have a problem till i used it at the willmar, mn store thur",1008963,AskTarget,Sun Oct 22 08:35:41 +0000 2017,@358748 We take your comment seriously and want to look into this for you. Please provide us with further details so we can better assist you.,"1008964,1008962"
1010431,359095,Sun Oct 22 12:33:36 +0000 2017,@AskTarget I just have to find the CD because my target doesn't have the CD,1010429,AskTarget,Sun Oct 22 20:38:55 +0000 2017,"@359095 While the CD has limited availability in our stores, you can order it here: https://t.co/xSmHBoiKFn Thanks.",1010430
1010433,359095,Sat Oct 21 23:42:39 +0000 2017,@359096 @39967 @116062 What are the two extra songs,1010432,AskTarget,Sun Oct 22 07:28:35 +0000 2017,"@359095 Thanks. We appreciate your interest in the “Let It Snow” CD. The Target exclusive songs included are “Away In A Manger"" and ""Silent Night”.",1010431
101135,138123,Thu Nov 30 14:12:46 +0000 2017,@AskTarget hello it says I got my order but many items are missing!,101134,AskTarget,Thu Nov 30 17:15:07 +0000 2017,"@138123 Please DM us with as many details as possible, including your order number. We want to take a closer look and do all we can to help. https://t.co/bEVlRVM6db",
101137,138124,Thu Nov 30 14:49:10 +0000 2017,Send help my mom is trying to buy Ripoff @138125 Murch from @116062  In Alabama,101136,AskTarget,Thu Nov 30 17:08:07 +0000 2017,@138124 We take your comments seriously and would like to know more. Please DM us pictures (if possible) and description of the item you mentioned. Thanks.,
