customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000918,356965,Thu Oct 12 05:15:09 +0000 2017,@116588 Mobile network tower for Idea company,1000917,idea_cares,Thu Oct 12 05:25:28 +0000 2017,"@356965 Please elaborate on your concern and we will surely address it. Rgds, Yogita",
1000918,356965,Thu Oct 12 05:15:09 +0000 2017,@116588 Mobile network tower for Idea company,1000919,idea_cares,Sat Oct 14 05:25:19 +0000 2017,"@356965 We're awaiting for your response to resolve ur issue. Pls provide the same within next 24 hrs. Rgds, Idea Care",
1000964,356974,Wed Sep 13 03:49:12 +0000 2017,@216608 @62967 I get this msg everyday @122869 can u help me by sending a stern n Kadi Ninda to @idea_cares they claim it is some Sarkar  who has ordered https://t.co/yLOtcTLTu2,1000961,idea_cares,Wed Sep 13 04:31:00 +0000 2017,"@356974 Aadhar link is mandatory as per TRAI guidelines. So kindly do it, if already done then ignore the messages. Rgds, Yogita","1000962,1000963"
1002032,357197,Sat Oct 14 12:25:50 +0000 2017,Idea कम्पनी के customer Care वाले भी बेबाक़ूफ बना रहे हैं  call करवाकर पैसों की लूट कर रहे हैं idea छोड़ दे क्या @idea_cares @116331,1002031,idea_cares,Sat Oct 14 12:36:25 +0000 2017,@357197 Apologies for the trouble. Please DM us your contact nos. and elaborate on your concern and we will surely address it.,
1002032,357197,Sat Oct 14 12:25:50 +0000 2017,Idea कम्पनी के customer Care वाले भी बेबाक़ूफ बना रहे हैं  call करवाकर पैसों की लूट कर रहे हैं idea छोड़ दे क्या @idea_cares @116331,1002036,idea_cares,Mon Oct 16 12:36:23 +0000 2017,"@357197 We're awaiting for your response to resolve ur issue. Pls provide the same within next 24 hrs. Rgds, Idea Care",
1002191,357231,Sun Oct 22 14:24:53 +0000 2017,"@116331 Your Appellate Karnataka team never replied to my complaint its &gt;30 days over, SR No's-1-134076199585 and 1-134083163659",1002190,idea_cares,Sun Oct 22 14:45:00 +0000 2017,"@357231 Your request for promo benefits have been provided. For complaint status you can check https://t.co/Gjuv741qd1 Regards, Vicky",
1002206,357236,Tue Oct 10 06:01:36 +0000 2017,"@116331 should be no!dea! Boost required. Paid for. No internet connected, then require more paperwork. 5 days! @idea_cares ? Really?",1002205,idea_cares,Thu Oct 12 06:11:01 +0000 2017,"@357236 We're awaiting for your response to resolve ur issue. Pls provide the same within next 24 hrs. Rgds, Idea Care",
1002206,357236,Tue Oct 10 06:01:36 +0000 2017,"@116331 should be no!dea! Boost required. Paid for. No internet connected, then require more paperwork. 5 days! @idea_cares ? Really?",1002207,idea_cares,Tue Oct 10 06:10:53 +0000 2017,"@357236 We are here to help.DM us your contact number and elaborate on your concern so we will address it. Rgds,Pradnya https://t.co/LBfZgLCSfr",
1002209,146957,Thu Oct 12 12:04:16 +0000 2017,@idea_cares No one call me for my requirements.. I think I should go with other services provider if idea not interested for customer,1002211,idea_cares,Thu Oct 12 19:09:00 +0000 2017,@146957 .We do apologise for the inconvenience causing to you.Please give us some time our concern team will definitly call you.,1002212
1002210,146957,Thu Oct 12 05:27:25 +0000 2017,"@idea_cares it's Pune Maharashtra
PIN code 411018
It will help me if you arrange a Call. Thanks",1002208,idea_cares,Thu Oct 12 06:02:27 +0000 2017,"@146957 Thank you for sharing your contact details. We will get back to you at the earliest. Rgds,Pradnya",1002209
1002212,146957,Mon Oct 30 04:30:21 +0000 2017,@idea_cares team please check I am not get the resolution yet. Applied for Port in but post 6 days didn't get any response from Idea ??????,1002213,idea_cares,Mon Oct 30 04:37:27 +0000 2017,"@146957 We understand how frustrating this can be. We will get back to you with an update shortly. Regards, Shruti https://t.co/LBfZgLCSfr",1002214
1002216,146957,Thu Oct 12 05:16:55 +0000 2017,"@idea_cares dear Pradnya
You can connect me on 9028026488",1002215,idea_cares,Thu Oct 12 05:26:00 +0000 2017,"@146957 Thank you for sharing contact details. Request you to share pincode details so we will look into it.Rgds,Pradnya https://t.co/LBfZgLCSfr",1002210
1002218,146957,Thu Oct 12 05:09:00 +0000 2017,"@idea_cares Looking for port in to idea with my corporate postpaid connection
Can someone help me",1002217,idea_cares,Thu Oct 12 05:12:31 +0000 2017,"@146957 Thank you for choosing Idea Cellular. Please share your contact, pincode details so we can get in touch with you.Rgds,Pradnya https://t.co/LBfZgLCSfr",1002216
1002841,357381,Sun Oct 22 14:34:20 +0000 2017,"@116329 I am done with Airtel, Very bad for last 5 months.@idea_cares No support to Port to Idea. Can @118343 help me?",1002842,idea_cares,Sun Oct 22 14:51:16 +0000 2017,@357381 Thank you for choosing Idea cellular. We request you to share location along with pin code 1/2 https://t.co/LBfZgLCSfr,
1002841,357381,Sun Oct 22 14:34:20 +0000 2017,"@116329 I am done with Airtel, Very bad for last 5 months.@idea_cares No support to Port to Idea. Can @118343 help me?",1002839,idea_cares,Sun Oct 22 14:52:00 +0000 2017,"@357381 and your contact details for further assistance. Regards, Vicky 2/2 https://t.co/LBfZgLCSfr",1002840
1003074,357439,Tue Oct 10 06:45:39 +0000 2017,@116331 idea post cheats their customers #420 #Fraud,1003073,idea_cares,Thu Oct 12 06:49:24 +0000 2017,"@357439 We're awaiting for your response to resolve ur issue. Pls provide the same within next 24 hrs. Rgds, Idea Care",
1003074,357439,Tue Oct 10 06:45:39 +0000 2017,@116331 idea post cheats their customers #420 #Fraud,1003075,idea_cares,Tue Oct 10 06:49:23 +0000 2017,"@357439 We are here to help. DM us your contact number and elaborate on your concern so we will address it.Rgds,Pradnya https://t.co/LBfZgLCSfr",
1003448,357520,Sat Oct 14 12:43:24 +0000 2017,"@idea_cares Hello, I need an intl roaming tariff for the USA. Kindly let me know what packs you offer.",1003447,idea_cares,Sat Oct 14 12:50:26 +0000 2017,"@357520 Please DM your Idea contact number to assist you further. Regards,Sneha. https://t.co/LBfZgLCSfr",
1003585,357541,Sun Oct 22 14:58:26 +0000 2017,"@idea_cares 
How can purchase 3g/4g data pack from my available main balance.I rang up to 12345,198,121 but no use.please guide me asap.",1003586,idea_cares,Sun Oct 22 15:04:55 +0000 2017,@357541 Apologies for the inconvenience caused to you. Request you to download our Idea App to make recharges. 1/1,
1003585,357541,Sun Oct 22 14:58:26 +0000 2017,"@idea_cares 
How can purchase 3g/4g data pack from my available main balance.I rang up to 12345,198,121 but no use.please guide me asap.",1003584,idea_cares,Sun Oct 22 15:06:00 +0000 2017,"@357541 Please check the following link to download My Idea app https://t.co/5cl5JSzK1T? Regards, Mahindra 2/2",
1004189,295814,Thu Oct 12 07:21:55 +0000 2017,@idea_cares please tweet your care no. For non idea mobile.....or call me on 9029263728,1004188,idea_cares,Thu Oct 12 07:37:32 +0000 2017,"@295814 Use https://t.co/gTSsKRqTpe to call customer care from non Idea mobile.

 Rgds,Neha L",
1004303,357708,Sun Oct 22 15:13:57 +0000 2017,@44030 @116331 Idea is a fake company.,1004302,idea_cares,Sun Oct 22 15:21:00 +0000 2017,"@357708 Apologies for the trouble. Please DM your contact nos. and elaborate on your concern. Regards, Mahindra",
