example_id,customer_tweet_id,customer_text,gold_intent,predicted_intent,gold_escalate,predicted_escalate,similarity,draft_reply,reason,evidence_1,system,reply_correct,reply_helpful,reply_grounded,reply_safe,escalation_appropriate,judge_notes
1,1061464,@AppleSupport @115858 just wanted to share the below received today. Looks fraudulent! https://t.co/mvriFNgsvT,account_access_security,account_access_security,True,True,0.4436704078820926,"@158590 We can appreciate that. If you'll join us in DM please, we'll be better able to fully explain what you're seeing. https://t.co/GDrqU22YpT",Sensitive account or payment issue - LR classifier flagged.,@AppleSupport I just wanted an answer on why this happens,our_agent,5.0,4.0,5.0,5.0,5.0,"Intent=account_access_security, similarity=0.444. Escalated safely for human review."
2,1852418,@AppleSupport 8plus latest ios,ios_software_bug,ios_software_bug,False,False,0.7621874957702931,"@184804 Just to confirm, if you go to Settings &gt; General &gt; About &gt; Version, do you see 11.1.1 there? 

Does the iPhone lock, even if it's after the set amount of time, or does it just stay unlocked?","LR intent=ios_software_bug (conf=1.00), evidence is clear.",@AppleSupport 8plus and the latest version,our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=ios_software_bug, similarity=0.762. Auto-handled with verified evidence."
3,1742610,@115858 ya needa fix this problem with the letter “i” like it’s rlly annoying thx,ios_software_bug,ios_software_bug,False,False,0.4296523468761054,"@662973 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6","LR intent=ios_software_bug (conf=0.68), evidence is clear.","@115858 can y’all please fix the problem with the letter I️?

^ #AboutToLeaveApple 😒",our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=ios_software_bug, similarity=0.430. Auto-handled with verified evidence."
4,1498632,Why does my phone change I️ to an A with a question mark in a box?? @AppleSupport @115858,ios_software_bug,ios_software_bug,False,False,0.6450011847199758,@486424 We'd love to help. Follow the steps here: https://t.co/xXaXeeSRt9 Let us know if you have further questions.,"LR intent=ios_software_bug (conf=0.98), evidence is clear.","I still have this question mark box, what is that @AppleSupport",our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=ios_software_bug, similarity=0.645. Auto-handled with verified evidence."
5,2095503,My 7plus is acting weird after 11.1 update. My battery is draining faster. Pls help @AppleSupport,battery_power,battery_power,False,False,0.4768932100157143,@539476 We’d be glad to help get to the bottom for this. Can you start by letting us know about this more via DM? https://t.co/GDrqU22YpT,"LR intent=battery_power (conf=0.98), evidence is clear.",@AppleSupport Battery draining faster than before after iOS 11.0.3 Update 😐,our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=battery_power, similarity=0.477. Auto-handled with verified evidence."
6,724957,"@AppleSupport Hi, after updating to iOS 11 the WiFi on my iPhone 7 keeps turning itself on, even after I turn it off again. Known issue?",connectivity_network,connectivity_network,False,False,0.3963708501064583,@575222 That's not normal for your iPhones not to charge after an update. Let's chat over in Direct Message and we'll investigate this. https://t.co/GDrqU22YpT,"LR intent=connectivity_network (conf=0.97), evidence is clear.","@AppleSupport hi, since updating to iOS 11 both my iPhone 5s are experiencing not charging issue. Is this a known bug?",our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=connectivity_network, similarity=0.396. Auto-handled with verified evidence."
7,1761257,@115858 I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ FIX IT I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️,ios_software_bug,ios_software_bug,False,False,1.0000000000000002,@514896 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,"LR intent=ios_software_bug (conf=0.98), evidence is clear.",@115858 please fix my I’s,our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=ios_software_bug, similarity=1.000. Auto-handled with verified evidence."
8,794461,@AppleSupport check the reviews for the lightning to HDMI converter on your store (uk) I'm having the same problem as all those customers,hardware_accessory,hardware_accessory,True,False,0.3091864846964907,@116349 Send us a DM please and we will go from there. https://t.co/GDrqU22YpT,"LR intent=hardware_accessory (conf=0.96), evidence is clear.",@AppleSupport @AppleSupport ^^check this out,our_agent,5.0,4.0,5.0,5.0,3.0,"Intent=hardware_accessory, similarity=0.309. Auto-handled with verified evidence."
9,2072290,- Ffs my apps unexpectedly close... all the time! @AppleSupport,ios_software_bug,ios_software_bug,False,False,0.3251138583909746,@509879 Alright. Does this seem to happen with any specific apps? What iOS version are you using? (Settings &gt; General &gt; About).,"LR intent=ios_software_bug (conf=0.61), evidence is clear.","@AppleSupport The apps are unexpectedly closing it, it seems a lot slower than it did before I updated it it’s like jumpy",our_agent,5.0,4.0,5.0,5.0,5.0,"Intent=ios_software_bug, similarity=0.325. Auto-handled with verified evidence."
10,1266536,"Oye @AppleSupport, después de instalar la nueva actualización iOS, que problema la batería y el teclado es terrible.",ios_software_bug,ios_software_bug,False,False,0.5543097770328788,@404813  We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,"LR intent=ios_software_bug (conf=0.92), evidence is clear.","Queridos @AppleSupport, después de instalar la nueva actualización iOS, es insólito que la batería del IPhone 7 dure menos de 6 horas 😤",our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=ios_software_bug, similarity=0.554. Auto-handled with verified evidence."
