customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000349,306046,Thu Oct 12 00:37:52 +0000 2017,@British_Airways can you help me and my group get back home,1000350,British_Airways,Thu Oct 12 05:00:45 +0000 2017,@306046 We're sorry for the delay Nancy. We're hoping to get you all away soon. Updated information can be found on https://t.co/8U8FOvViKW. 1/2,
1000349,306046,Thu Oct 12 00:37:52 +0000 2017,@British_Airways can you help me and my group get back home,1000348,British_Airways,Thu Oct 12 05:02:38 +0000 2017,@306046 Please keep your receipts for any out of pockets expenses and claim these back from us. ^Kit 2/2,
1000457,259879,Sun Oct 22 12:00:57 +0000 2017,"@British_Airways so everyone’s favourite airline, £1.20 for a KitKat. That’s a bit RyanAirish isn’t it?",1000456,British_Airways,Sun Oct 22 17:25:33 +0000 2017,"@259879 We’re sorry for the inconvenience Andy, we’ll pass on your comments as feedback to our Catering team. ^Kieran",
1000460,356848,Sun Oct 22 17:24:32 +0000 2017,"@British_Airways No, I tried via app and internet without succes. I am now in the cue at London City Airport. The lady @ the BA Desk could not help me",1000462,British_Airways,Mon Oct 23 07:28:38 +0000 2017,"@356848 Sorry for the late reply, Mariel. Did you manage you get your extra bag paid for at London City airport? ^Raj",
1000461,356848,Sun Oct 22 11:53:52 +0000 2017,@British_Airways trying to purchase extra luggage online for my flight tonight but get message u r unable to complete transaction,1000458,British_Airways,Sun Oct 22 17:22:22 +0000 2017,"@356848 We’re sorry for the late response Mariel, did you manage to get this sorted? ^Kieran","1000459,1000460"
1000464,186373,Sun Oct 22 11:33:16 +0000 2017,Looking like an epic 13:25 home tonight. #KULLHR @British_Airways BA34,1000463,British_Airways,Sun Oct 22 17:16:00 +0000 2017,"@186373 I hope it goes quickly for you, Brendan! ^Kimbers",
1000772,356926,Thu Oct 12 02:45:36 +0000 2017,@British_Airways hey - any issues with online check in?,1000771,British_Airways,Thu Oct 12 05:27:05 +0000 2017,"@356926 Hi Haim, there's no reported problems with online check in today. Have a great flight. ^Kit",
1001262,344788,Thu Oct 12 04:59:35 +0000 2017,"@British_Airways your new releases are not so new.. I’ve flown BA in Aug, Sept and now Oct and 90% of your film selection has not changed.",1001261,British_Airways,Thu Oct 12 05:37:55 +0000 2017,@344788 I’m sorry the film selection has been the same on your flights. Your comments have been feedback. ^Davina,
1001264,357044,Thu Oct 12 03:55:33 +0000 2017,Thanks @British_Airways for such delightful crew and service in both Club Europe and Club World cabins! The food and drink were spot on too!,1001263,British_Airways,Thu Oct 12 05:31:36 +0000 2017,"@357044 Hi there, thanks for the positive feedback! I’m delighted to hear you had such great flights. ^Davina",
1001459,220436,Sun Oct 22 17:45:02 +0000 2017,@British_Airways No it’s fine it’s not that big a deal,1001461,British_Airways,Sun Oct 22 17:52:45 +0000 2017,"@220436 No problem Charlie, if you need anything else, please let us know. ^Kieran",
