customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1000622,356889,Mon Nov 20 00:27:44 +0000 2017,"@AskAmex why does,it take 45 days to get my serve $ back when the moneypass atm didn't dispense. Ridiculous!",1000620,AskAmex,Mon Nov 20 14:28:08 +0000 2017,@356889 They’re available 24/7. Sorry for any inconvenience.^In,1000621
1000622,356889,Mon Nov 20 00:27:44 +0000 2017,"@AskAmex why does,it take 45 days to get my serve $ back when the moneypass atm didn't dispense. Ridiculous!",1000623,AskAmex,Mon Nov 20 14:28:01 +0000 2017,@356889 via Twitter. Please contact our Serve Customer Service Team at 800-954-0559 for assistance.,
1000622,356889,Mon Nov 20 00:27:44 +0000 2017,"@AskAmex why does,it take 45 days to get my serve $ back when the moneypass atm didn't dispense. Ridiculous!",1000624,AskAmex,Mon Nov 20 14:27:34 +0000 2017,"@356889 Hi Robert. Sorry you feel this way. We’d like to assist; however, we’re unable to securely address your concerns",
1000648,356899,Mon Nov 20 14:28:52 +0000 2017,@AskAmex And I have that was my issue no one is doing anything.  Thanks for no help,1000650,AskAmex,Mon Nov 20 14:32:09 +0000 2017,@356899 Apologies for any lapse in service. Please call and escalate to a Supervisor. ^Clarissa,
1000649,356899,Mon Nov 20 14:22:50 +0000 2017,@AskAmex I have a bluebird card,1000647,AskAmex,Mon Nov 20 14:25:49 +0000 2017,"@356899 Please call Bluebird for assistance @ 877-486-5990, 24/7. All the best. ^Clarissa",1000648
1000652,356899,Mon Nov 20 04:26:50 +0000 2017,"@AskAmex   I contacted over a week ago about fraudulent charges on my card, you said you would send me a new card and paper work to get my funds back.  I have got the card.  I have not gotten any paper work or my money back.  What is taking so long?",1000651,AskAmex,Mon Nov 20 14:21:30 +0000 2017,@356899 Hi sorry to hear. Which U.S. based card do you have? Please do not share any personal information. ^Clarissa,1000649
1000654,356900,Mon Nov 20 05:27:01 +0000 2017,@AskAmex hi. Is there a way to communicate via email? Thanks.,1000653,AskAmex,Mon Nov 20 14:24:05 +0000 2017,@356900 Hi. Unfortunately there is no email servicing as email is not secure. Do you have an account with us? ^Clarissa,
1000654,356900,Mon Nov 20 05:27:01 +0000 2017,@AskAmex hi. Is there a way to communicate via email? Thanks.,1000655,AskAmex,Tue Nov 21 14:43:18 +0000 2017,@356900 Hi I never heard back from you. Let me know if I can assist. Have a nice day. ^Clarissa,
1000657,356901,Mon Nov 20 14:27:58 +0000 2017,@AskAmex I have a “The American Expess Card”,1000659,AskAmex,Mon Nov 20 15:15:18 +0000 2017,@356901 They're available 24/7. Sorry for the inconvenience.^In,
1000657,356901,Mon Nov 20 14:27:58 +0000 2017,@AskAmex I have a “The American Expess Card”,1000660,AskAmex,Mon Nov 20 15:15:11 +0000 2017,@356901 Thank you for the information you provided. Please call the number on back of the card for assistance.,
1000658,356901,Sun Nov 19 23:39:49 +0000 2017,@AskAmex order from apple was made on 27th October 2017. Have revived email today stating they where unsuccessful in collecting payment. No sign of it on my Amex account. Please advise.,1000661,AskAmex,Mon Nov 20 14:22:06 +0000 2017,@356901 Good morning. thanks for reaching out. Which U.S. issued Amex Card,
1000658,356901,Sun Nov 19 23:39:49 +0000 2017,@AskAmex order from apple was made on 27th October 2017. Have revived email today stating they where unsuccessful in collecting payment. No sign of it on my Amex account. Please advise.,1000656,AskAmex,Mon Nov 20 14:22:17 +0000 2017,@356901 product do you have (please do not release any personal identifiable information)?^In,1000657
1000669,356903,Mon Nov 20 03:51:02 +0000 2017,@AskAmex i have small charge i didn't make on my bluebird account. it isn't much (19 cents) but i have reason to believe my exgf has my card info. what should i do?,1000668,AskAmex,Mon Nov 20 14:19:49 +0000 2017,"@356903 Hi there. For assistance, pls call Bluebird @ 877-486-5990, 24/7. Wishing you all of the best. ^Clarissa",
1000679,356906,Fri Nov 17 03:21:01 +0000 2017,"@AskAmex After multiple chat with Amex, I still don't see 35K SPG sign-up bonus. It has been over four months since I was told that the point will be manually issued due to system glitch. When will I see my points?",1000678,AskAmex,Mon Nov 20 14:13:03 +0000 2017,"@356906 Good morning, thanks for your patience. Sending a Direct Message.^In",
1000679,356906,Fri Nov 17 03:21:01 +0000 2017,"@AskAmex After multiple chat with Amex, I still don't see 35K SPG sign-up bonus. It has been over four months since I was told that the point will be manually issued due to system glitch. When will I see my points?",1000680,AskAmex,Fri Nov 17 14:06:34 +0000 2017,@356906 Good morning. Sorry to hear this. Do you have time to chat securely through our website so I can look at your account?^In,2617138
1000682,356907,Mon Nov 20 14:02:43 +0000 2017,"@AskAmex Yes, I'm logged in.",1000681,AskAmex,Mon Nov 20 14:09:26 +0000 2017,"@356907 Great. Please go to https://t.co/crJMnNwi0H , log in, &amp; select code 11210 &amp; we will continue from there. ^C",
1000684,356907,Mon Nov 20 13:58:04 +0000 2017,@AskAmex Yes,1000683,AskAmex,Mon Nov 20 14:00:59 +0000 2017,@356907 to look into this we would need to chat securely through our website so that I can see your account. Are you free now? ^C,1000682
1000686,356907,Mon Nov 20 00:36:13 +0000 2017,"@AskAmex hello, is there a way for me to find out when my annual fee is due or when I last paid it?",1000685,AskAmex,Mon Nov 20 13:57:38 +0000 2017,@356907 Good Morning Jenna. Do you have access to your account online? ^Clarissa,1000684
1000688,356908,Mon Nov 20 02:01:26 +0000 2017,"@AskAmex I am really happy with my my french Gold Amex and I want to get a US one (I just moved to SD, CA). Is it possible even if I don't have a credit history?",1000687,AskAmex,Mon Nov 20 14:08:15 +0000 2017,@356908 Have a nice day. ^Clarissa,
1000688,356908,Mon Nov 20 02:01:26 +0000 2017,"@AskAmex I am really happy with my my french Gold Amex and I want to get a US one (I just moved to SD, CA). Is it possible even if I don't have a credit history?",1000689,AskAmex,Mon Nov 20 14:07:59 +0000 2017,"@356908 Hi. For info you'd need to call our Apply by Phone team directly @ 877-621-2639, 6:00 a.m. - 2:00 a.m. ET / 7 days a week.",
1000691,356909,Mon Nov 20 01:16:08 +0000 2017,@AskAmex,1000692,AskAmex,Tue Nov 21 14:45:06 +0000 2017,@356909 Hi I never heard back from you. Let me know if I can assist. Have a nice day. ^Clarissa,
1000691,356909,Mon Nov 20 01:16:08 +0000 2017,@AskAmex,1000690,AskAmex,Mon Nov 20 14:02:30 +0000 2017,@356909 Hi. Do you need assistance w/ a U.S. based Amex card? Please do not share any personal information. ^Clarissa,
1000694,356910,Mon Nov 20 14:35:24 +0000 2017,@AskAmex Amex everyday card,1000696,AskAmex,Mon Nov 20 14:38:43 +0000 2017,"@356910 It can take up to 2 billing periods for reward points to post. I hope this helps, have a nice day. ^Clarissa",1000697
1000695,356910,Mon Nov 20 01:12:29 +0000 2017,@AskAmex My first statement just close on my reward card. How long does it take for points to post. It's just showing pending.,1000693,AskAmex,Mon Nov 20 13:58:43 +0000 2017,"@356910 Hi there, which U.S. based card is this concerning? Please do not share any personal information. ^Clarissa",1000694
1000697,356910,Mon Nov 20 14:56:25 +0000 2017,@AskAmex Yes it has. Thank you.,1000698,AskAmex,Mon Nov 20 14:59:53 +0000 2017,"@356910 My pleasure, feel free to tweet us in the future. Have a nice day. ^Clarissa",
1000702,356911,Sun Nov 19 23:48:15 +0000 2017,"@AskAmex     I am insulted by your email saying learn to pay your bill on time.  I had my bill scheduled to pay for today, Nov 19, 17 in advance.  No appreciated.  Robin Martineau",1000703,AskAmex,Tue Nov 21 14:16:47 +0000 2017,@356911 Hi. I never heard back from you. Let me know if I can assist. Have a nice day. ^Clarissa,
1000702,356911,Sun Nov 19 23:48:15 +0000 2017,"@AskAmex     I am insulted by your email saying learn to pay your bill on time.  I had my bill scheduled to pay for today, Nov 19, 17 in advance.  No appreciated.  Robin Martineau",1000701,AskAmex,Mon Nov 20 13:55:11 +0000 2017,@356911 Hi Robin. Which U.S. based card do you have? Please do not share any personal information. ^Clarissa,
1000705,356912,Sun Nov 19 23:17:32 +0000 2017,@AskAmex Need urgent help for car insurance as in Brussels. Can you please contact me?,1000704,AskAmex,Mon Nov 20 13:52:44 +0000 2017,"@356912 @ 800-338-1670, 24/7. All the best. ^Clarissa",
1000705,356912,Sun Nov 19 23:17:32 +0000 2017,@AskAmex Need urgent help for car insurance as in Brussels. Can you please contact me?,1000706,AskAmex,Mon Nov 20 13:52:26 +0000 2017,@356912 Hi thx for tweeting. Regretfully we cannot call via this channel. Pls call our Car Rental Insurance team directly,
1000953,309703,Sun Oct 22 17:09:45 +0000 2017,@AskAmex Customer Service along with AmEx website chat have started to stink already! Shame on you,1000952,AskAmex,Sun Oct 22 17:27:21 +0000 2017,"@309703 Hi there, How can I help you? ^Naomi",
1000953,309703,Sun Oct 22 17:09:45 +0000 2017,@AskAmex Customer Service along with AmEx website chat have started to stink already! Shame on you,1000954,AskAmex,Wed Oct 25 21:04:44 +0000 2017,"@309703 Hi there, I never heard back from you. Pls tweet us if you need assistance. Have a great day. ^Naomi",1232049
1000956,356972,Sun Oct 22 17:03:54 +0000 2017,"@AskAmex please release my funds that were taken even though nothing was purchased, @235293 does not want it, they did not sell me anything",1000955,AskAmex,Sun Oct 22 17:24:10 +0000 2017,"@356972 Usually a hold is released after 3 calendar days, however it can take up to 8 calendar days,",
1000956,356972,Sun Oct 22 17:03:54 +0000 2017,"@AskAmex please release my funds that were taken even though nothing was purchased, @235293 does not want it, they did not sell me anything",1000957,AskAmex,Sun Oct 22 17:23:31 +0000 2017,@356972 Pls understand that once a merchant completes a pre-authorization there will be a hold of those funds.,
