customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_account,brand_created_at,brand_reply,brand_response_tweet_id
1007332,358370,Sat Oct 14 13:15:33 +0000 2017,I really feel like scratching my damn eyes out I hate wells fargo,1007331,Ask_WellsFargo,Sat Oct 14 13:31:00 +0000 2017,@358370 What made you feel this way about us? Let us know the details so we can help (no account numbers). ^SC,
1009912,358962,Sat Oct 14 13:29:29 +0000 2017,When @116827 atm won’t accept your deposit😅😅,1009911,Ask_WellsFargo,Sat Oct 14 13:48:30 +0000 2017,"@358962 We're sorry for the inconvenience, Lauren. Pls tell us the exact location of the ATM you visited so we can look into it. ^DC",
1009913,358962,Sat Oct 14 16:22:36 +0000 2017,"@116827 Main Street ATM Columbia, South Carolina around 9:30 this morning",1132453,Ask_WellsFargo,Sat Oct 14 16:51:29 +0000 2017,"@358962 You're referring to the ATM located at 1441 Main St in Columbia, SC. Is that correct, Lauren? ^GJ https://t.co/q1oBDuYAdh",1132454
1010632,359152,Sun Oct 22 19:49:25 +0000 2017,@Ask_WellsFargo Just sent the DM,1010631,Ask_WellsFargo,Sun Oct 22 20:49:00 +0000 2017,"@359152 We've received and responded to your message, Carolina. ^RG",
1010634,359152,Sat Oct 21 02:16:22 +0000 2017,@Ask_WellsFargo @116827 + checked everything and no sign of the money. What happens? 😡😡😡,1010633,Ask_WellsFargo,Sat Oct 21 02:54:47 +0000 2017,"@359152 Hi, Carolina. Please DM us more info about your concern along with your full name, address, &amp; phone # (no acct #). ^HE https://t.co/q1oBDuYAdh",1010632
1012036,359463,Sun Oct 22 17:20:06 +0000 2017,@359464 @Ask_WellsFargo 2 days now mine isn't working,1012035,Ask_WellsFargo,Sun Oct 22 17:55:35 +0000 2017,"@359463 For immediate help, call 1-800-869-3557. If you'd like us to look into this, DM us your name, address, and phone number. ^SC",
1013520,359830,Sun Oct 22 17:38:35 +0000 2017,"I'm at @116827 Bank in Philadelphia, PA https://t.co/CphLKuorrK",1013519,Ask_WellsFargo,Sun Oct 22 18:13:24 +0000 2017,"@359830 Nice to see you're back, Jeremy. ^SC",
1017281,360699,Sun Oct 22 20:26:35 +0000 2017,Fuck county somehow my debit card wasnt in my property how am i just realizing this now i gotta call wells fargo for another replacement,1017280,Ask_WellsFargo,Sun Oct 22 21:22:31 +0000 2017,@360699 Sorry to learn about your card. Were you able to call 1-800-869-3557 to report your card and request for a replacement? ^SC,
1017283,360700,Sun Oct 22 20:19:25 +0000 2017,"I have Wells Fargo but I wanna switch banks, does anyone recommend a good bank to have? 🤕",1017282,Ask_WellsFargo,Sun Oct 22 21:11:33 +0000 2017,"@360700 Hello, is there something specific I can help you with? ^RG",
1018222,360912,Mon Oct 09 18:05:50 +0000 2017,@360913 so disappointed with the recent handling of my account. Wish my long-standing relationship w/WF stood for something.,1018220,Ask_WellsFargo,Thu Oct 12 14:42:53 +0000 2017,@360912 What happened? Let us know how we can help. I would be happy to review (no account numbers). Thanks. ^KJ,1018221
1018744,361050,Sun Oct 22 20:48:56 +0000 2017,OffiCially done wit Wells Fargo it’s been real,1018743,Ask_WellsFargo,Sun Oct 22 21:54:00 +0000 2017,@361050 What happened? Let me know. I'm here to help. ^RG https://t.co/q1oBDuYAdh,
101951,138340,Thu Nov 30 17:24:09 +0000 2017,@116827 bitch fuck the restrictions let me put my MF coin thru the atm,101950,Ask_WellsFargo,Thu Nov 30 17:44:01 +0000 2017,@138340 We're happy to provide free of charge coin wrappers for customers to roll their change for deposit. Feel free to visit your nearest branch today. ^TL,
101953,138341,Thu Nov 30 17:20:11 +0000 2017,@116827 y’all be annoying sometimes but always coming through! 🐐,101952,Ask_WellsFargo,Thu Nov 30 17:41:32 +0000 2017,"@138341 Are we giving you the impression that we're annoying? If so, please let me know what's going on. ^TL",
101955,138342,Thu Nov 30 16:48:50 +0000 2017,OK TEAM. This happens to me 10% of the times I log into your site. What gives? @116827 https://t.co/OPshow8mrr,101954,Ask_WellsFargo,Thu Nov 30 17:36:33 +0000 2017,"@138342 You can have us address your online banking concern further, Erin. In a DM, please share your full name, address, and best contact number (no account numbers). ^TL https://t.co/q1oBDuYAdh",
101958,138343,Thu Nov 30 17:24:53 +0000 2017,@Ask_WellsFargo No need. Its called escrow. The great old loophole. My taxes go up close to $200 and you guys collect an additional 500. No warning. Hopefully Mulvaney will take care of it.,101956,Ask_WellsFargo,Thu Nov 30 17:32:00 +0000 2017,"@138343 I'm sorry you're frustrated with us. If you change your mind and would like me to look into this for you, please DM the requested information. Thanks again. ^CC",101957
101960,138343,Thu Nov 30 17:10:28 +0000 2017,@116827 @138344 Neighborhood flipping much?  600 dollars a month added onto a mortgage that came out of nowhere seems legit.. Assholes,101959,Ask_WellsFargo,Thu Nov 30 17:18:00 +0000 2017,"@138343 I'll look into this for you. Please DM your full name, phone number, property address, and more details about your concern (no account numbers). Thanks so much. ^CC",101958
101962,254674,Sun Dec 03 05:24:20 +0000 2017,@116827 @138344 How about Well give back All the Money you stole from your clients with setting up fake/fraudulent accounts #crooks,573078,Ask_WellsFargo,Sun Dec 03 05:31:27 +0000 2017,"@254674 We want to make sure all of your questions are answered. More information can be found online at https://t.co/8LMLihvP8H. You can also speak with the settlement administrator at 1-866-431-8549, Monday through Friday. ^LC",
101963,261566,Sun Dec 03 17:21:31 +0000 2017,@116827 @138344 Y’all need to pay me my money bitch,597125,Ask_WellsFargo,Sun Dec 03 19:29:26 +0000 2017,@261566 What's going on? You can DM us (no acct #) your concern so we may look into it for you. ^GJ https://t.co/q1oBDuYAdh,
101966,138345,Thu Nov 30 16:50:31 +0000 2017,Man why did I bank with Wells Fargo. Worst decision ever.. They really stealing money this is crazy.,101964,Ask_WellsFargo,Thu Nov 30 17:12:01 +0000 2017,@138345 I noticed your tweet. Is there something we can review for you? Let us know how we can help (no account numbers). Thanks. ^KJ,101965
101969,138346,Thu Nov 30 17:04:26 +0000 2017,@116827 Im moving my mortgage to another banking institution. Yall scummy practices and stupid offers you keep sending me are the worst. Going on over to my loyal @138347 or @134568  PEACE LOSERS!,101967,Ask_WellsFargo,Thu Nov 30 17:10:34 +0000 2017,"@138346 I’m sorry to see this, and I’d like opportunity to address your mortgage concerns. In a DM, please provide your full name, phone number, and property address (no account numbers). I’ll do my best to assist you. ^AS https://t.co/q1oBDuYAdh",101968
