example_id,customer_tweet_id,customer_text,brand_reply,label_notes,labeler,intent,gold_escalate,label_source,label_confidence
1,1061464,@AppleSupport @115858 just wanted to share the below received today. Looks fraudulent! https://t.co/mvriFNgsvT,@370630 We're glad you reached out! This article explains how to report the phishing attempt: https://t.co/LNMCdqt6fD,,,account_access_security,True,rule_based,1.0
2,1852418,@AppleSupport 8plus latest ios,@276185 Thanks for the information. DM us and let us know what happens when you try to send a message and we'll continue from there. https://t.co/GDrqU22YpT,,,ios_software_bug,False,rule_based,1.0
3,1742610,@115858 ya needa fix this problem with the letter “i” like it’s rlly annoying thx,@525665 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,ios_software_bug,False,lr_override,0.6913
4,1498632,Why does my phone change I️ to an A with a question mark in a box?? @AppleSupport @115858,@467952 We'd love to talk to you about this a bit more. When did you first notice this issue occurring? Let us know in DM. https://t.co/GDrqU22YpT,,,ios_software_bug,False,rule_based,1.0
5,2095503,My 7plus is acting weird after 11.1 update. My battery is draining faster. Pls help @AppleSupport,@619068 We'd like to help! Send us a DM with the country that you are located in and we will continue from there. https://t.co/GDrqU22YpT,,,battery_power,False,rule_based,0.5
6,724957,"@AppleSupport Hi, after updating to iOS 11 the WiFi on my iPhone 7 keeps turning itself on, even after I turn it off again. Known issue?","@293645 Are you turning the Wi-Fi off from the Control Center? Let us know, we'd like to help.",,,connectivity_network,False,lr_override,0.596
7,1761257,@115858 I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ FIX IT I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️,@530031 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,ios_software_bug,False,expert_audit,0.7579
8,794461,@AppleSupport check the reviews for the lightning to HDMI converter on your store (uk) I'm having the same problem as all those customers,@309426 Thanks for taking the time to let us know more about the situation. Can you confirm your experience via DM? https://t.co/GDrqU22YpT,,,hardware_accessory,True,lr_override,0.2153
9,2072290,- Ffs my apps unexpectedly close... all the time! @AppleSupport,@612919 Hello. This is certainly not the experience we want you to have. You're in great hands for support. Let's look into this together. Please DM us which device and OS version you have to continue. https://t.co/GDrqU22YpT,,,ios_software_bug,False,lr_override,0.6121
10,1266536,"Oye @AppleSupport, después de instalar la nueva actualización iOS, que problema la batería y el teclado es terrible.",@416549 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,,,ios_software_bug,False,rule_based,1.0
11,302939,"@AppleSupport when I try to download something I was brought to the payment page, and when I put my card info in it said that it was declined. I don’t know why tho please help",@188297 We're here to help. This page may able to provide some guidance: https://t.co/U96y4MTG7k DM us if you are still having issues. https://t.co/GDrqU22YpT,,,app_store_billing,True,rule_based,1.0
12,2799481,@115858 can you fix that glitch with the &gt;&gt;&gt; I️ cause I️ can’t handle that that A with the question mark anymore. Please and Thank You,@781052 We can certainly look into this with you. Please DM us a screenshot of your Settings &gt; General &gt; About section and we will go from there. https://t.co/GDrqU2kzhr,,,ios_software_bug,False,rule_based,1.0
13,2577040,i updated my phone to fix the question mark thing and now my touch ID doesn’t unlock my phone and it’s super slow @AppleSupport I CANT AFFORD AN IPHONE 8 y’all are some snakes,"@730699 That's definitely not what we want to have occur, but we can help out in getting this resolved. Meet us in DM and let us know the type of iPhone you have, then we can work together to resolve this. https://t.co/GDrqU22YpT",,,ios_software_bug,False,rule_based,1.0
14,1113193,"@AppleSupport Why private?  Laura didn't have any issue telling whole store that my hands were shaking.  had item 10 days. screen cracked.  She blamed
me.","@382719 We want to look into this deeper. Send us a DM, so we can assist. https://t.co/GDrqU22YpT",,,hardware_accessory,False,rule_based,1.0
15,1940723,@AppleSupport That’s not what you guide us ☹️ https://t.co/DGWUMCEMah,@706934 Thanks for reaching out. Send us a DM with your current location and we'll go from there. https://t.co/GDrqU22YpT,,,ios_software_bug,True,lr_override,0.4021
16,1418592,@115858 I️ really liked knowing how much battery my Bluetooth devices have instead of them just dying on me in specific my fuckin HEADPHONES.,"@449730 We'd like to help any way we can over Twitter, but we'll need more details first. Please DM us here: https://t.co/GDrqU22YpT",,,battery_power,True,rule_based,0.3333
17,2849152,my battery life somehow sucks all of the sudden 🤔 @115858 trying to finesse me out of some more money but I'm not falling for it,"@792304 We’re happy to take a closer look at your device’s battery life with you. To get started, send us a DM with the device model, the installed operating system, and how long it’s lasting before the next charge. https://t.co/GDrqU22YpT",,,battery_power,False,rule_based,1.0
18,2065208,@AppleSupport can't even unlock my phone,@610727 We're here to help. Please DM us via the following link with your device model and we'll assist you from there. https://t.co/GDrqU22YpT,,,ios_software_bug,False,lr_override,0.5725
19,809510,Actually about to walk down to the docs and throw this phone into the river! @115858 have absolutely fucked my phone with the new update 😡,@312890 We’d like to help get you back to enjoying your iPhone. Can you tell us more about the issue you've been having?,,,ios_software_bug,False,rule_based,1.0
20,1368810,@115858 why my phone running like shit after the 8 came out,@438612 We'd be happy to look into this with you.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,,,ios_software_bug,False,lr_override,0.6091
21,2871725,"Honestly, I’ve had my iPhone since May and with all these crappy updates @115858 keeps pushing out, it just hasn’t been operating properly AT ALL. I think it’s time to switch 😞",@797367 We'd be happy to take a look into any issues you're having. Could you please send us a DM with some details so we can get started? https://t.co/GDrqU22YpT,,,ios_software_bug,False,rule_based,1.0
